Model,Attack,Epsilon,SSS
VGG19,fgsm,0.005,0.398929
ResNet50,fgsm,0.005,0.411716
DenseNet121,fgsm,0.005,0.42314
VGG19,fgsm,0.01,0.366427
ResNet50,fgsm,0.01,0.387461
DenseNet121,fgsm,0.01,0.407661
VGG19,fgsm,0.02,0.346814
ResNet50,fgsm,0.02,0.381463
DenseNet121,fgsm,0.02,0.395853
VGG19,fgsm,0.04,0.342688
ResNet50,fgsm,0.04,0.381141
DenseNet121,fgsm,0.04,0.388313
VGG19,pgd,0.005,0.357565
ResNet50,pgd,0.005,0.369614
DenseNet121,pgd,0.005,0.381675
VGG19,pgd,0.01,0.348016
ResNet50,pgd,0.01,0.366235
DenseNet121,pgd,0.01,0.374734
VGG19,pgd,0.02,0.345832
ResNet50,pgd,0.02,0.360679
DenseNet121,pgd,0.02,0.367943
VGG19,pgd,0.04,0.339602
ResNet50,pgd,0.04,0.360716
DenseNet121,pgd,0.04,0.35747
