Model,Epsilon,Clean Conf,Adv Conf,Conf Drop,Acc Drop (pp),Overconfident
VGG19,0.005,0.953,0.8701,0.0829,67.2,No
VGG19,0.01,0.953,0.9713,-0.0183,87.11,⚠️ YES
VGG19,0.02,0.953,0.9973,-0.0443,90.22,⚠️ YES
VGG19,0.04,0.953,0.9999,-0.0469,91.94,⚠️ YES
ResNet50,0.005,0.9792,0.9584,0.0208,79.4,No
ResNet50,0.01,0.9792,0.9849,-0.0057,88.38,⚠️ YES
ResNet50,0.02,0.9792,0.9959,-0.0167,91.14,⚠️ YES
ResNet50,0.04,0.9792,1.0,-0.0208,92.75,⚠️ YES
DenseNet121,0.005,0.9569,0.9805,-0.0236,95.51,⚠️ YES
DenseNet121,0.01,0.9569,0.996,-0.0391,95.86,⚠️ YES
DenseNet121,0.02,0.9569,0.9946,-0.0377,95.86,⚠️ YES
DenseNet121,0.04,0.9569,0.9974,-0.0405,95.86,⚠️ YES
