Model,Epsilon,FGSM Fool%,PGD Fool%,Curvature Indicator,Relative Gain%,Boundary Shape
VGG19,0.005,35.21,68.7,33.49,95.1,Highly Curved
VGG19,0.01,57.31,88.84,31.53,55.0,Highly Curved
VGG19,0.02,72.84,92.17,19.33,26.5,Highly Curved
VGG19,0.04,76.87,94.25,17.38,22.6,Highly Curved
ResNet50,0.005,36.48,79.98,43.5,119.2,Highly Curved
ResNet50,0.01,44.42,89.07,44.65,100.5,Highly Curved
ResNet50,0.02,50.17,91.83,41.66,83.0,Highly Curved
ResNet50,0.04,50.75,93.56,42.81,84.4,Highly Curved
DenseNet121,0.005,66.63,96.66,30.03,45.1,Highly Curved
DenseNet121,0.01,74.91,97.24,22.33,29.8,Highly Curved
DenseNet121,0.02,80.9,97.47,16.57,20.5,Highly Curved
DenseNet121,0.04,77.91,97.81,19.9,25.5,Highly Curved
