Model,Epsilon,Accuracy (%),Fooling Rate (%),Clean Confidence,Adv Confidence,Accuracy Drop (pp)
VGG19,0.005,26.35,68.7,0.953,0.8701,67.2
VGG19,0.01,6.44,88.84,0.953,0.9713,87.11
VGG19,0.02,3.34,92.17,0.953,0.9973,90.22
VGG19,0.04,1.61,94.25,0.953,0.9999,91.94
ResNet50,0.005,15.42,79.98,0.9792,0.9584,79.4
ResNet50,0.01,6.44,89.07,0.9792,0.9849,88.38
ResNet50,0.02,3.68,91.83,0.9792,0.9959,91.14
ResNet50,0.04,2.07,93.56,0.9792,1.0,92.75
DenseNet121,0.005,0.35,96.66,0.9569,0.9805,95.51
DenseNet121,0.01,0.0,97.24,0.9569,0.996,95.86
DenseNet121,0.02,0.0,97.47,0.9569,0.9946,95.86
DenseNet121,0.04,0.0,97.81,0.9569,0.9974,95.86
