model,class_idx,class_name,total,fooled,fooling_rate
VGG19,0,Faces,16,8,0.5
VGG19,1,Faces_easy,24,12,0.5
VGG19,2,Leopards,8,4,0.5
VGG19,3,Motorbikes,44,12,0.2727272727272727
VGG19,5,airplanes,32,14,0.4375
VGG19,6,anchor,4,1,0.25
VGG19,10,beaver,4,3,0.75
VGG19,11,binocular,4,1,0.25
VGG19,12,bonsai,4,2,0.5
VGG19,13,brain,4,2,0.5
VGG19,16,butterfly,8,3,0.375
VGG19,17,camera,4,0,0.0
VGG19,18,cannon,4,0,0.0
VGG19,19,car_side,4,1,0.25
VGG19,22,chair,12,6,0.5
VGG19,23,chandelier,8,4,0.5
VGG19,25,cougar_face,4,1,0.25
VGG19,27,crayfish,8,4,0.5
VGG19,28,crocodile,8,4,0.5
VGG19,29,crocodile_head,4,0,0.0
VGG19,33,dolphin,16,4,0.25
VGG19,34,dragonfly,4,2,0.5
VGG19,36,elephant,4,2,0.5
VGG19,39,ewer,4,0,0.0
VGG19,40,ferry,8,2,0.25
VGG19,43,garfield,4,1,0.25
VGG19,45,gramophone,4,2,0.5
VGG19,46,grand_piano,8,3,0.375
VGG19,50,helicopter,4,2,0.5
VGG19,51,ibis,4,0,0.0
VGG19,52,inline_skate,4,1,0.25
VGG19,53,joshua_tree,4,2,0.5
VGG19,55,ketch,8,5,0.625
VGG19,56,lamp,4,1,0.25
VGG19,57,laptop,4,1,0.25
VGG19,58,llama,4,1,0.25
VGG19,64,metronome,4,0,0.0
VGG19,65,minaret,4,1,0.25
VGG19,70,panda,4,0,0.0
VGG19,71,pigeon,8,5,0.625
VGG19,72,pizza,4,1,0.25
VGG19,74,pyramid,4,2,0.5
VGG19,76,rhino,4,1,0.25
VGG19,79,schooner,8,4,0.5
VGG19,81,scorpion,4,3,0.75
VGG19,82,sea_horse,4,2,0.5
VGG19,83,snoopy,4,0,0.0
VGG19,84,soccer_ball,4,1,0.25
VGG19,85,stapler,4,2,0.5
VGG19,86,starfish,12,4,0.3333333333333333
VGG19,87,stegosaurus,4,2,0.5
VGG19,90,sunflower,4,2,0.5
VGG19,92,trilobite,4,1,0.25
VGG19,93,umbrella,4,1,0.25
VGG19,94,watch,12,3,0.25
VGG19,96,wheelchair,4,2,0.5
ResNet50,0,Faces,8,2,0.25
ResNet50,1,Faces_easy,36,14,0.3888888888888889
ResNet50,3,Motorbikes,24,6,0.25
ResNet50,4,accordion,4,1,0.25
ResNet50,5,airplanes,20,8,0.4
ResNet50,8,barrel,8,1,0.125
ResNet50,9,bass,4,2,0.5
ResNet50,10,beaver,4,1,0.25
ResNet50,12,bonsai,8,1,0.125
ResNet50,13,brain,4,2,0.5
ResNet50,18,cannon,4,1,0.25
ResNet50,19,car_side,8,2,0.25
ResNet50,20,ceiling_fan,4,0,0.0
ResNet50,21,cellphone,4,2,0.5
ResNet50,23,chandelier,8,3,0.375
ResNet50,26,crab,4,3,0.75
ResNet50,27,crayfish,4,2,0.5
ResNet50,28,crocodile,4,3,0.75
ResNet50,30,cup,4,1,0.25
ResNet50,31,dalmatian,4,0,0.0
ResNet50,32,dollar_bill,4,0,0.0
ResNet50,33,dolphin,4,0,0.0
ResNet50,35,electric_guitar,4,3,0.75
ResNet50,36,elephant,4,2,0.5
ResNet50,38,euphonium,8,0,0.0
ResNet50,41,flamingo,12,5,0.4166666666666667
ResNet50,43,garfield,12,2,0.16666666666666666
ResNet50,44,gerenuk,8,2,0.25
ResNet50,46,grand_piano,12,4,0.3333333333333333
ResNet50,47,hawksbill,8,3,0.375
ResNet50,50,helicopter,4,1,0.25
ResNet50,51,ibis,12,3,0.25
ResNet50,52,inline_skate,4,1,0.25
ResNet50,53,joshua_tree,4,0,0.0
ResNet50,54,kangaroo,4,1,0.25
ResNet50,55,ketch,4,2,0.5
ResNet50,56,lamp,4,2,0.5
ResNet50,57,laptop,4,2,0.5
ResNet50,58,llama,4,2,0.5
ResNet50,60,lotus,8,3,0.375
ResNet50,62,mayfly,4,1,0.25
ResNet50,65,minaret,8,1,0.125
ResNet50,66,nautilus,8,2,0.25
ResNet50,67,octopus,4,0,0.0
ResNet50,70,panda,4,0,0.0
ResNet50,71,pigeon,4,2,0.5
ResNet50,73,platypus,8,2,0.25
ResNet50,75,revolver,8,4,0.5
ResNet50,76,rhino,4,1,0.25
ResNet50,78,saxophone,4,2,0.5
ResNet50,79,schooner,4,1,0.25
ResNet50,81,scorpion,4,2,0.5
ResNet50,82,sea_horse,4,2,0.5
ResNet50,84,soccer_ball,4,0,0.0
ResNet50,85,stapler,4,0,0.0
ResNet50,86,starfish,8,2,0.25
ResNet50,90,sunflower,4,1,0.25
ResNet50,91,tick,4,1,0.25
ResNet50,92,trilobite,8,2,0.25
ResNet50,97,wild_cat,4,2,0.5
DenseNet121,0,Faces,12,6,0.5
DenseNet121,1,Faces_easy,24,6,0.25
DenseNet121,2,Leopards,16,8,0.5
DenseNet121,3,Motorbikes,24,7,0.2916666666666667
DenseNet121,4,accordion,4,0,0.0
DenseNet121,5,airplanes,32,16,0.5
DenseNet121,6,anchor,8,1,0.125
DenseNet121,7,ant,4,2,0.5
DenseNet121,8,barrel,8,4,0.5
DenseNet121,9,bass,4,2,0.5
DenseNet121,10,beaver,4,2,0.5
DenseNet121,12,bonsai,4,1,0.25
DenseNet121,13,brain,4,2,0.5
DenseNet121,15,buddha,8,3,0.375
DenseNet121,17,camera,8,2,0.25
DenseNet121,19,car_side,4,2,0.5
DenseNet121,22,chair,4,2,0.5
DenseNet121,23,chandelier,8,4,0.5
DenseNet121,24,cougar_body,4,2,0.5
DenseNet121,25,cougar_face,4,0,0.0
DenseNet121,27,crayfish,4,2,0.5
DenseNet121,30,cup,8,1,0.125
DenseNet121,31,dalmatian,4,0,0.0
DenseNet121,33,dolphin,8,0,0.0
DenseNet121,37,emu,8,3,0.375
DenseNet121,39,ewer,4,1,0.25
DenseNet121,40,ferry,12,8,0.6666666666666666
DenseNet121,41,flamingo,4,2,0.5
DenseNet121,43,garfield,8,2,0.25
DenseNet121,46,grand_piano,8,1,0.125
DenseNet121,47,hawksbill,4,1,0.25
DenseNet121,50,helicopter,8,5,0.625
DenseNet121,51,ibis,12,5,0.4166666666666667
DenseNet121,53,joshua_tree,4,1,0.25
DenseNet121,55,ketch,8,3,0.375
DenseNet121,60,lotus,8,4,0.5
DenseNet121,61,mandolin,4,2,0.5
DenseNet121,62,mayfly,4,2,0.5
DenseNet121,63,menorah,4,0,0.0
DenseNet121,64,metronome,4,1,0.25
DenseNet121,70,panda,4,1,0.25
DenseNet121,74,pyramid,4,1,0.25
DenseNet121,75,revolver,4,2,0.5
DenseNet121,76,rhino,4,1,0.25
DenseNet121,79,schooner,4,3,0.75
DenseNet121,81,scorpion,8,3,0.375
DenseNet121,82,sea_horse,4,2,0.5
DenseNet121,84,soccer_ball,4,0,0.0
DenseNet121,90,sunflower,16,4,0.25
DenseNet121,91,tick,4,1,0.25
DenseNet121,92,trilobite,4,0,0.0
DenseNet121,94,watch,20,9,0.45
DenseNet121,97,wild_cat,4,2,0.5
